image,item_name,price,rank1
"https://images-na.ssl-images-amazon.com/images/I/71u12Vkaa9L._AC_UL200_SR200,200_.jpg","
            AmazonBasics 6-Outlet, 200 Joule Surge Protector Power Strip, 2 Foot, White - Pack of 2
        ,
            ,
            ,
        ,   ",$12.99,#70
"https://images-na.ssl-images-amazon.com/images/I/712hH1uqHRL._AC_UL200_SR200,200_.jpg","
            Power Strip Surge Protector, Anker 12 Outlets & 3 USB Ports with Flat Plug, PowerPort Strip With 6ft Extension Cord, PowerIQ for iPhone XS/XS Max/XR/X, Galaxy, for Home, Office, and More (4000 Joules)
        ,
            ,
            ,
        ,   ",$24.64,#71
"https://images-na.ssl-images-amazon.com/images/I/71YZlXXFktL._AC_UL200_SR200,200_.jpg","
            TCL 40S325 40 Inch 1080p Smart LED Roku TV (2019)
        ,
            ,
            ,
        ,   ",$199.99,#72
"https://images-na.ssl-images-amazon.com/images/I/61NuNAjyh0L._AC_UL200_SR200,200_.jpg","
            Surge Protector Wall Mount, Outlet Splitter with Rotating Plug, POWERIVER Power Strip with 6 Outlet Extender (3 Side) and 3 USB Ports, 1680 Joules, for Home/School/Office/Travel, White
        ,
            ,
            ,
        ,   ",$15.98,#73
"https://images-na.ssl-images-amazon.com/images/I/61445UADu9L._AC_UL200_SR200,200_.jpg","
            Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera
        ,
            ,
            ,
        ,   ",$422.00,#74
"https://images-na.ssl-images-amazon.com/images/I/81nSaeP3AvL._AC_UL200_SR200,200_.jpg","
            Dell 27 LED backlit LCD Monitor SE2719H IPS Full HD 1080p 1920 x 1080 at 60 Hz HDMI VGA,Black
        ,
            ,
            ,
        ,   ",$159.99,#75
"https://images-na.ssl-images-amazon.com/images/I/6162WMQWhVL._AC_UL200_SR200,200_.jpg","
            Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (Latest Model)
        ,
            ,
            ,
        ,   ",$399.98,#76
"https://images-na.ssl-images-amazon.com/images/I/81nFCuZKA9L._AC_UL200_SR200,200_.jpg","
            ARRIS SURFboard SBG10 DOCSIS 3.0 Cable Modem & AC1600 Dual Band Wi-Fi Router, Approved for Cox, Spectrum, Xfinity & others (black)
        ,
            ,
            ,
        ,   ",$119.00,#77
"https://images-na.ssl-images-amazon.com/images/I/8154mTqd%2BAL._AC_UL200_SR200,200_.jpg","
            havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black/Blue
        ,
            ,
            ,
        ,   ",$36.99,#78
"https://images-na.ssl-images-amazon.com/images/I/817FcB-M0PL._AC_UL200_SR200,200_.jpg","
            Roku Ultra | Streaming Media Player 4K/HD/HDR with Premium JBL Headphones 2019
        ,
            ,
            ,
        ,   ",$92.28,#79
